#{"t_start": 1606835205.7834709, "env_id": "wmac-graph-v1"}
r,l,t
-1800.0,9,12.809618
-1800.0,7,12.821012
-1510.0,7,12.831713
-2106.0,10,12.847892
-2040.0,8,12.862792
-1980.0,9,12.879099
-1860.0,8,12.889913
-2280.0,10,12.905774
-2190.0,10,12.922124
-2130.0,7,12.938121
-1920.0,9,12.95613
-1540.0,7,12.966331
-2040.0,8,12.981411
-1980.0,8,12.992492
-1980.0,7,13.006486
-1830.0,8,13.01783
-2250.0,9,13.033382
-2040.0,8,13.048284
-1830.0,7,13.058759
-1830.0,8,13.074048
-1830.0,8,13.086681
-1920.0,8,13.104121
-1660.0,9,13.121153
-1800.0,8,13.132747
-1920.0,12,13.155296
-1750.0,7,13.166165
-1540.0,8,13.181477
-1980.0,7,13.192111
-2010.0,10,13.208098
-2040.0,8,13.22319
-2010.0,8,13.234596
-1890.0,8,13.249196
-1860.0,7,13.259234
-1980.0,9,13.275907
-1830.0,8,13.290831
-1710.0,7,13.301702
-1890.0,9,13.317148
-1590.0,7,13.327316
-1866.0,9,13.342986
-2670.0,12,13.3609
-1920.0,10,13.377333
-1920.0,8,13.392443
-2346.0,10,13.40925
-1830.0,7,13.419478
-2070.0,11,13.440922
-2070.0,8,13.453515
-2010.0,11,13.472493
-1920.0,8,13.491598
-2490.0,12,13.510625
-1866.0,9,13.527797
-2070.0,8,13.543582
-1620.0,7,13.554427
-2670.0,13,13.580554
-1860.0,8,13.591791
-2310.0,10,13.608863
-1836.0,8,13.625326
-1920.0,6,13.634516
-1800.0,9,13.649784
-2220.0,9,13.664984
-1920.0,8,13.676055
-2040.0,8,13.690812
-1770.0,7,13.701021
-1890.0,7,13.715132
-2076.0,9,13.730785
-1860.0,9,13.743083
-2670.0,10,13.76007
-1890.0,8,13.775058
-1950.0,8,13.789927
-1830.0,9,13.801861
-2790.0,11,13.82199
-2070.0,11,13.83907
-1920.0,8,13.850554
-2316.0,12,13.872504
-1890.0,9,13.88809
-2070.0,11,13.905483
-1890.0,8,13.916817
-1890.0,7,13.931494
-2190.0,10,13.949509
-1830.0,10,13.967678
-1950.0,8,13.978548
-1770.0,7,13.992665
-2160.0,11,14.012023
-2070.0,9,14.028099
-1962.0,11,14.046517
-2010.0,10,14.062875
-1590.0,6,14.072159
-2110.0,11,14.090755
-1920.0,8,14.106831
-1950.0,7,14.117125
-1890.0,8,14.131794
-1830.0,8,14.146398
-1920.0,10,14.163067
-1920.0,8,14.173956
-1950.0,9,14.189358
-1620.0,6,14.198473
-1980.0,8,14.212935
-2010.0,10,14.229709
-2100.0,8,14.240837
-2394.0,10,14.256902
-1866.0,8,14.27144
-1660.0,8,14.28599
-1980.0,9,14.297934
-1770.0,7,14.311809
-1980.0,9,14.327714
-1800.0,7,14.338178
-2430.0,10,14.355696
-2520.0,11,14.373405
-1800.0,6,14.382926
-2010.0,6,14.396335
-1630.0,7,14.407382
-1980.0,9,14.424758
-2160.0,8,14.435761
-2250.0,9,14.452595
-2010.0,7,14.468201
-1710.0,7,14.479611
-1584.0,8,14.495864
-1740.0,7,14.507005
-1750.0,9,14.522823
-1710.0,7,14.53554
-1740.0,8,14.55085
-1716.0,8,14.56208
-1800.0,8,14.577543
-1720.0,9,14.594424
-1860.0,9,14.611891
-1900.0,11,14.630372
-2040.0,8,14.641005
-1770.0,8,14.655334
-1800.0,7,14.666239
-1830.0,9,14.683968
-2160.0,9,14.700112
-2040.0,9,14.715837
-1956.0,10,14.733666
-1680.0,7,14.744703
-1896.0,9,14.76115
-1860.0,8,14.776238
-2010.0,9,14.788236
-1980.0,9,14.803524
-1800.0,8,14.81822
-1920.0,9,14.833618
-1890.0,7,14.844225
-1890.0,9,14.864262
-1860.0,9,14.881025
-2454.0,12,14.900995
-2070.0,10,14.919874
-1890.0,8,14.938053
-1770.0,7,14.948983
-2070.0,10,14.96645
-2010.0,8,14.980982
-2160.0,9,14.995363
-1920.0,9,15.012932
-2040.0,8,15.030206
-1710.0,7,15.040478
-2190.0,11,15.05762
-2160.0,9,15.073316
-1950.0,9,15.091791
-2340.0,10,15.109534
-2280.0,12,15.127932
-1950.0,10,15.144778
-1854.0,8,15.159681
-2070.0,10,15.176621
-1770.0,8,15.191328
-1520.0,8,15.202741
-2010.0,9,15.218586
-1860.0,7,15.229346
-1780.0,10,15.245451
-1770.0,7,15.259466
-1840.0,9,15.275979
-1590.0,13,15.296418
-2070.0,10,15.313593
-1920.0,9,15.329846
-2226.0,10,15.348087
-1800.0,8,15.364553
-1890.0,7,15.376613
-1956.0,9,15.392884
-2080.0,11,15.410875
-1800.0,8,15.427506
-1926.0,9,15.439489
-1420.0,10,15.455899
-2256.0,10,15.472277
-2220.0,10,15.488612
-2070.0,9,15.505325
-1890.0,7,15.519663
-2700.0,14,15.539664
-1896.0,9,15.556916
-1830.0,8,15.572516
-1920.0,10,15.591049
-1600.0,8,15.602777
-2460.0,13,15.626072
-1710.0,7,15.636265
-1710.0,8,15.652601
-2200.0,11,15.673435
-1710.0,7,15.688784
-2250.0,10,15.704977
-1836.0,9,15.717072
-1546.0,8,15.733252
-1816.0,11,15.75168
-1710.0,8,15.767933
-1800.0,8,15.779232
-2000.0,14,15.803545
-1740.0,7,15.818141
-1740.0,8,15.829749
-2040.0,8,15.845732
-1740.0,6,15.856425
-1890.0,9,15.874034
-2076.0,11,15.891533
