Time,CPU Usage (%),Hit_Miss,Squid_Memory_Usage(kb),Request_Rate/(Min),Response_Time(ms),Squid_Disk_Usage(mb),Cache_Disk_Usage(mb),Cache_Memory_Usage(kb)
2:35:24,0.06,MISS,667424,45.6,1774,225,18,1576
2:35:29,0.06,MISS,667424,45.6,1699,225,18,1580
2:35:35,0.06,MISS,667424,45.7,1776,225,18,1584
2:35:40,0.06,MISS,667424,45.7,1745,225,18,1588
2:35:45,0.06,MISS,667424,45.7,1777,225,18,1592
2:35:50,0.06,MISS,667424,45.8,1668,225,18,1596
2:35:56,0.06,MISS,667424,45.8,1705,225,18,1600
2:36:01,0.06,MISS,667424,45.9,1719,225,18,1604
2:36:06,0.06,MISS,667840,45.9,1664,225,18,1608
2:36:11,0.06,MISS,667840,46,1699,225,18,1612
2:36:16,0.06,MISS,667840,46,1665,225,18,1616
2:36:22,0.06,MISS,667840,46.1,1701,225,18,1620
2:36:27,0.06,MISS,667840,46.1,1751,225,18,1624
2:36:32,0.06,MISS,667840,46.1,1732,225,18,1628
2:36:37,0.06,MISS,667840,46.2,1705,225,18,1632
2:36:42,0.06,MISS,667840,46.2,1696,225,18,1636
2:36:48,0.06,MISS,667840,46.3,1741,225,18,1640
2:36:53,0.06,MISS,667840,46.3,1699,225,18,1644
2:36:58,0.06,MISS,667840,46.4,1724,225,18,1648
2:37:03,0.06,MISS,667840,46.4,1668,225,18,1652
2:37:09,0.06,MISS,667840,46.4,1700,225,18,1656
2:37:14,0.06,MISS,667840,46.5,1671,225,18,1660
2:37:19,0.07,MISS,667840,46.5,1669,225,18,1664
2:37:24,0.07,MISS,667840,46.6,1796,225,18,1668
2:37:29,0.07,MISS,668240,46.6,1645,225,18,1672
2:37:35,0.07,MISS,668240,46.7,1692,225,18,1676
2:37:40,0.07,MISS,668240,46.7,1723,225,18,1680
2:37:45,0.07,MISS,668240,46.7,1741,225,18,1684
2:37:50,0.07,MISS,668240,46.8,1705,225,18,1688
2:37:55,0.07,MISS,668240,46.8,1726,225,18,1692
2:38:01,0.07,MISS,668240,46.9,1701,225,18,1696
2:38:06,0.07,MISS,668240,46.9,1663,225,18,1700
2:38:11,0.07,MISS,668240,46.9,1782,225,18,1704
2:38:16,0.07,MISS,668240,47,1704,225,18,1708
2:38:22,0.07,MISS,668240,47,1781,225,18,1712
2:38:27,0.07,MISS,668240,47.1,1686,225,18,1716
2:38:32,0.07,MISS,668240,47.1,1741,225,18,1720
2:38:37,0.07,MISS,668240,47.1,1701,225,18,1724
2:38:42,0.07,MISS,668240,47.2,1686,225,18,1728
2:38:48,0.07,MISS,668240,47.2,1724,225,18,1732
2:38:53,0.07,MISS,668640,47.3,1684,225,18,1736
2:38:58,0.07,MISS,668640,47.3,1734,225,18,1740
2:39:03,0.07,MISS,668640,47.3,1727,225,18,1744
2:39:08,0.07,MISS,668640,47.4,1687,225,18,1748
2:39:14,0.07,MISS,668640,47.4,1706,225,18,1752
2:39:19,0.07,MISS,668640,47.5,1717,225,18,1756
2:39:24,0.07,MISS,668640,47.5,1782,225,18,1760
2:39:29,0.07,MISS,668640,47.5,1683,225,18,1764
2:39:35,0.07,MISS,668640,47.6,1715,225,18,1768
2:39:40,0.07,MISS,668640,47.6,1676,225,18,1772
2:39:45,0.07,MISS,668640,47.6,1717,225,18,1776
2:39:50,0.07,MISS,668640,47.7,1703,225,18,1780
2:39:55,0.07,MISS,668640,47.7,1714,225,18,1784
2:40:01,0.07,MISS,668640,47.8,1711,225,18,1788
2:40:06,0.07,MISS,668640,47.8,1656,225,18,1792
2:40:11,0.07,MISS,668640,47.8,1729,225,18,1796
2:40:16,0.07,MISS,669040,47.9,1719,225,18,1800
2:40:21,0.07,MISS,669040,47.9,1723,225,18,1804
2:40:27,0.07,MISS,669040,47.9,1699,225,18,1808
2:40:32,0.07,MISS,669040,48,1722,225,18,1812
2:40:37,0.07,MISS,669040,48,1720,225,18,1816
2:40:42,0.07,MISS,669040,48.1,1718,225,18,1820
2:40:48,0.07,MISS,669040,48.1,1745,225,18,1824
2:40:53,0.07,MISS,669040,48.1,1657,225,18,1828
2:40:58,0.07,MISS,669040,48.2,1704,225,18,1832
2:41:03,0.07,MISS,669040,48.2,1685,225,18,1836
2:41:08,0.07,MISS,669040,48.2,1723,225,18,1840
2:41:14,0.07,MISS,669040,48.3,1706,225,18,1844
2:41:19,0.07,MISS,669040,48.3,1706,225,18,1848
2:41:24,0.07,MISS,669040,48.3,1803,225,18,1852
2:41:29,0.07,MISS,669040,48.4,1680,225,18,1856
2:41:34,0.07,MISS,669040,48.4,1738,225,19,1860
2:41:40,0.07,MISS,669440,48.5,1680,225,19,1864
2:41:45,0.07,MISS,669440,48.5,1758,225,19,1868
2:41:50,0.07,MISS,669440,48.5,1741,225,19,1872
2:41:55,0.07,MISS,669440,48.6,1699,225,19,1876
2:42:01,0.07,MISS,669440,48.6,1785,225,19,1880
2:42:06,0.07,MISS,669440,48.6,1722,225,19,1884
2:42:11,0.07,MISS,669440,48.7,1742,225,19,1888
2:42:16,0.07,MISS,669440,48.7,1683,225,19,1892
2:42:22,0.07,MISS,669440,48.7,1804,225,19,1896
2:42:27,0.07,MISS,669440,48.8,1726,225,19,1900
2:42:32,0.07,MISS,669440,48.8,1765,225,19,1904
2:42:37,0.07,MISS,669440,48.8,1719,225,19,1908
2:42:43,0.07,MISS,669440,48.9,1776,225,19,1912
2:42:48,0.07,MISS,669440,48.9,1723,225,19,1916
2:42:53,0.07,MISS,669440,48.9,1757,225,19,1920
2:42:58,0.07,MISS,669440,49,1725,225,19,1924
2:43:04,0.07,MISS,669840,49,1684,225,19,1928
2:43:09,0.07,MISS,669840,49,1765,225,19,1932
2:43:14,0.07,MISS,669840,49.1,1689,225,19,1936
2:43:19,0.07,MISS,669840,49.1,1727,226,19,1940
2:43:24,0.07,MISS,669840,49.1,1702,226,19,1944
2:43:30,0.07,MISS,669840,49.2,1757,226,19,1948
2:43:35,0.07,MISS,669840,49.2,1703,226,19,1952
2:43:40,0.07,MISS,669840,49.2,1705,226,19,1956
2:43:45,0.07,MISS,669840,49.3,1758,226,19,1960
2:43:51,0.07,MISS,669840,49.3,1723,226,19,1964
2:43:56,0.07,MISS,669840,49.3,1716,226,19,1968
2:44:01,0.07,MISS,669840,49.4,1689,226,19,1972
2:44:06,0.07,MISS,669840,49.4,1713,226,19,1976
2:44:11,0.07,MISS,669840,49.4,1722,226,19,1980
2:44:17,0.07,MISS,669840,49.4,1700,226,19,1984
2:44:22,0.07,MISS,669840,49.5,1789,226,19,1988
2:44:27,0.07,MISS,670240,49.5,1722,226,19,1992
2:44:32,0.07,MISS,670240,49.5,1759,226,19,1996
2:44:38,0.07,MISS,670240,49.6,1691,226,19,2000
2:44:43,0.07,MISS,670240,49.6,1754,226,19,2004
2:44:48,0.07,MISS,670240,49.6,1703,226,19,2008
