Time Cache_Disk_Usage/mb Cache_Memory_Usage/kb CPU_Usage Squid_Memory_Usage/kb
15:45:54 30 8108 241 0.07 717584
15:46:54 30 8108 241 0.07 717584
15:48:04 30 8108 241 0.07 717584
15:49:13 30 8108 241 0.07 717584
15:50:26 30 8108 241 0.07 717584
15:51:29 30 8108 241 0.07 717584
15:52:28 30 8108 241 0.07 717584
15:53:28 30 8108 241 0.07 717584
15:54:23 30 8108 241 0.07 717584
15:55:14 30 8108 241 0.07 717584
15:56:07 30 8108 241 0.07 717584
15:57:00 30 8112 241 0.07 717584
15:57:53 30 8108 241 0.07 717584
15:58:44 30 8108 242 0.07 717584
15:59:35 30 8108 242 0.07 717584
16:00:28 30 8108 242 0.07 717584
16:01:24 30 8108 242 0.07 717584
16:02:20 30 8108 242 0.07 717584
16:03:22 30 8108 242 0.07 717584
16:04:18 30 8112 242 0.07 717584
