File Time Hit_Miss  Response_Time/ns
2020110916:31:32.html 02:05:44 MISS 156439134
2020110916:31:32.html 02:05:44 HIT 139730309
2020110916:31:37.html 02:05:44 MISS 144120212
2020110916:31:37.html 02:05:44 HIT 135694672
2020110916:31:42.html 02:05:45 MISS 144876839
2020110916:31:42.html 02:05:45 HIT 141965197
2020110916:31:47.html 02:05:45 MISS 176205106
2020110916:31:47.html 02:05:45 HIT 135747955
2020110916:31:52.html 02:05:45 MISS 122777823
2020110916:31:52.html 02:05:45 HIT 141797413
2020110916:31:57.html 02:05:45 MISS 137458315
2020110916:31:57.html 02:05:46 HIT 116453734
2020110916:32:02.html 02:05:46 MISS 131320773
2020110916:32:02.html 02:05:46 HIT 173157741
2020110916:32:07.html 02:05:46 MISS 173501887
2020110916:32:07.html 02:05:46 HIT 126339145
2020110916:32:12.html 02:05:46 MISS 137226780
2020110916:32:12.html 02:05:46 HIT 120984146
2020110916:32:17.html 02:05:47 MISS 146674758
2020110916:32:17.html 02:05:47 HIT 119775694
2020110916:32:22.html 02:05:47 MISS 183359385
2020110916:32:22.html 02:05:47 HIT 145831745
2020110916:32:27.html 02:05:47 MISS 131086437
2020110916:32:27.html 02:05:47 HIT 133273533
2020110916:32:32.html 02:05:47 MISS 117894264
2020110916:32:32.html 02:05:48 HIT 193048546
2020110916:32:37.html 02:05:48 MISS 305206764
2020110916:32:37.html 02:05:48 HIT 198065528
2020110916:32:42.html 02:05:48 MISS 120574320
2020110916:32:42.html 02:05:48 HIT 122401845
2020110916:32:47.html 02:05:48 MISS 131407492
2020110916:32:47.html 02:05:49 HIT 132187183
2020110916:32:52.html 02:05:49 MISS 179308143
2020110916:32:52.html 02:05:49 HIT 139872716
2020110916:32:57.html 02:05:49 MISS 135674535
2020110916:32:57.html 02:05:49 HIT 128505050
2020110916:33:02.html 02:05:49 MISS 127685949
2020110916:33:02.html 02:05:49 HIT 128275580
2020110916:33:07.html 02:05:50 MISS 133520491
2020110916:33:07.html 02:05:50 HIT 173681894
2020110916:33:12.html 02:05:50 MISS 162480384
2020110916:33:12.html 02:05:50 HIT 128088322
2020110916:33:17.html 02:05:50 MISS 134472126
2020110916:33:17.html 02:05:50 HIT 124417198
2020110916:33:22.html 02:05:51 MISS 147050939
2020110916:33:22.html 02:05:51 HIT 119246873
2020110916:33:27.html 02:05:51 MISS 161229437
2020110916:33:27.html 02:05:51 HIT 139573881
